DEFENSIVE STOCKS DURING ELECTION CRASH - NIFTY 500,,,,,
,,,,,
"Stock Screener, Technical Analysis Scanner",,,,,
Sr.,Stock Name,Symbol,% Chg,Price,Volume
192,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,-4%,"1,231.40","3,974,437"
332,Avanti Feeds Limited,AVANTIFEED,-4%,491.30,"439,334"
334,Jubilant Ingrevia Ltd,JUBLINGREA,-5%,477.60,"438,503"
113,Deepak Nitrite Limited,DEEPAKNTR,-5%,"2,142.65","696,813"
367,Iifl Holdings Limited,IIFL,-5%,382.60,"1,639,192"
279,Jubilant Pharmova Ltd,JUBLPHARMA,-5%,640.95,"511,557"
29,Tata Investment Corporation Limited,TATAINVEST,-5%,"6,131.25","66,868"
203,Glenmark Pharmaceuticals Limited,GLENMARK,-5%,"1,122.35","2,199,037"
271,RHI Magnesita India Ltd,RHIM,-5%,680.15,"235,466"
486,Motherson Sumi Wiring India Ltd,MSUMI,-5%,64.55,"7,598,325"
24,Blue Dart Express Limited,BLUEDART,-4.6%,"6,902.30","62,117"
142,Kotak Mahindra Bank Limited,KOTAKBANK,-5%,"1,637.95","15,229,468"
368,Mahindra Holidays & Resorts India Limited,MHRIL,-5%,380.65,"213,809"
257,Chalet Hotels Ltd,CHALET,-4.7%,747.80,"327,289"
278,Eid Parry India Limited,EIDPARRY,-5%,648.00,"1,265,262"
315,Quess Corp Limited,QUESS,-5%,537.80,"295,126"
135,Poly Medicure Limited,POLYMED,-5%,"1,708.80","47,247"
105,Grasim Industries Limited,GRASIM,-5%,"2,256.40","1,543,389"
370,Crompton Greaves Consumer Electricals Limited,CROMPTON,-5%,376.80,"3,602,304"
35,Atul Limited,ATUL,-5%,"5,475.55","61,483"
372,Jk Paper Limited,JKPAPER,-5%,366.05,"1,055,089"
499,Alok Industries Ltd,ALOKINDS,-5%,24.50,"8,791,267"
112,Raymond Limited,RAYMOND,-5%,"2,153.20","312,852"
453,Motherson Sumi Systems Limited,MOTHERSON,-5%,142.15,"50,141,961"
498,Trident Limited,TRIDENT,-5%,35.10,"12,469,579"
232,Tata Motors Limited,TATAMOTORS,-4.9%,903.90,"26,554,598"
495,Tv18 Broadcast Limited,TV18BRDCST,-5%,40.60,"3,523,561"
479,Network18 Media & Investments Limited,NETWORK18,-5%,75.60,"629,368"
82,Balkrishna Industries Limited,BALKRISIND,-5%,"2,897.55","1,011,350"
239,Jai Balaji Industries Limited,JAIBALAJI,-5%,855.80,"85,145"
265,Sterling & Wilson Renewable Energy Ltd,SWSOLAR,-5%,700.05,"2,603,768"
270,Schneider Electric Infrastructure Limited,SCHNEIDER,-5%,683.75,"363,911"
306,Swan Energy Limited,SWANENERGY,-5%,567.35,"2,110,292"
376,One 97 Communications Ltd,PAYTM,-5%,357.40,"3,491,325"
387,Himadri Speciality Chemical Limited,HSCL,-5%,323.90,"743,614"
493,Suzlon Energy Limited,SUZLON,-5%,47.50,"123,854,100"
38,Supreme Industries Limited,SUPREMEIND,-5%,"5,288.40","150,767"
59,Timken India Limited,TIMKEN,-5%,"3,877.05","158,725"
69,Amber Enterprises India Ltd,AMBER,-5%,"3,535.90","121,891"
337,Chemplast Sanmar Ltd,CHEMPLASTS,-5%,465.30,"136,324"
474,Equitas Small Finance Bank Ltd,EQUITASBNK,-5%,90.95,"5,188,614"
409,Mahindra & Mahindra Financial Services Limited,M&MFIN,-5%,259.50,"6,360,293"
433,Firstsource Solutions Limited,FSL,-5%,181.90,"2,733,108"
132,Doms Industries Ltd,DOMS,-5%,"1,765.70","113,438"
293,Tata Motors Limited,TATAMTRDVR,-5%,603.05,"5,819,559"
107,Mastek Limited,MASTEK,-5%,"2,246.60","52,206"
309,Mahindra Lifespace Developers Limited,MAHLIFE,-5%,554.95,"471,129"
68,Godfrey Phillips India Limited,GODFRYPHLP,-5%,"3,549.95","95,853"
260,360 ONE WAM Ltd,360ONE,-5%,739.60,"514,488"
237,Alembic Pharmaceuticals Limited,APLLTD,-5%,869.55,"108,163"
56,Interglobe Aviation Limited,INDIGO,-5%,"4,073.20","1,977,245"
11,Ultratech Cement Limited,ULTRACEMCO,-5%,"9,918.30","972,018"
346,Apollo Tyres Limited,APOLLOTYRE,-5.3%,451.40,"3,876,955"
78,Ratnamani Metals & Tubes Limited,RATNAMANI,-5.4%,"3,189.15","66,468"
364,Laurus Labs Limited,LAURUSLABS,-5%,404.25,"2,543,235"
200,Kajaria Ceramics Limited,KAJARIACER,-5%,"1,149.20","173,253"
261,The Ramco Cements Limited,RAMCOCEM,-5%,730.90,"1,520,153"
255,Jindal Stainless Limited,JSL,-6%,758.65,"4,991,128"
94,BSE (Bombay stock exchange),BSE,-6%,"2,557.00","1,783,248"
379,General Insurance Corporation of India,GICRE,-6%,349.70,"4,020,914"
462,Lemon Tree Hotels Ltd,LEMONTREE,-6%,132.55,"6,950,580"
20,Apar Industries Limited,APARINDS,-6%,"7,555.70","236,278"
131,Havells India Limited,HAVELLS,-6%,"1,773.00","1,810,438"
152,Hdfc Bank Limited,HDFCBANK,-6%,"1,483.15","44,765,620"
8,ZF Commercial Vehicle Control System India Ltd,ZFCVINDIA,-6%,"16,398.15","7,874"
350,Indraprastha Gas Limited,IGL,-6%,442.25,"8,899,102"
386,CSB Bank Ltd,CSBBANK,-5.7%,325.05,"587,320"
207,Affle India Ltd,AFFLE,-6%,"1,087.70","596,052"
496,Easy Trip Planners Ltd,EASEMYTRIP,-5.8%,39.80,"15,128,044"
100,Glaxosmithkline Pharmaceuticals Limited,GLAXO,-6%,"2,349.55","251,775"
54,Schaeffler India Ltd,SCHAEFFLER,-6%,"4,246.70","277,413"
417,Laxmi Organic Industries Ltd,LXCHEM,-6%,226.50,"965,770"
497,Shree Renuka Sugars Limited,RENUKA,-6%,38.60,"8,535,490"
26,Bajaj Finance Limited,BAJFINANCE,-6%,"6,509.55","3,299,387"
445,The Federal Bank  Limited,FEDERALBNK,-5.9%,154.65,"19,975,571"
480,Jm Financial Limited,JMFINANCIL,-5.9%,75.00,"7,575,959"
434,Castrol India Limited,CASTROLIND,-6%,180.65,"3,817,455"
324,Praj Industries Limited,PRAJIND,-6%,516.40,"2,501,396"
219,Tata Chemicals Limited,TATACHEM,-6%,996.95,"1,950,548"
139,Tata Communications Limited,TATACOMM,-6%,"1,668.25","889,190"
213,Happy Forgings Ltd,HAPPYFORGE,-6%,"1,061.00","158,352"
397,Biocon Limited,BIOCON,-6%,290.90,"17,873,006"
330,Upl Limited,UPL,-6.1%,495.95,"4,202,540"
149,AAVAS Financiers Ltd,AAVAS,-6%,"1,525.20","202,341"
307,Elgi Equipments Limited,ELGIEQUIP,-6%,564.60,"248,880"
357,Poonawalla Fincorp Ltd,POONAWALLA,-6%,423.05,"2,213,122"
421,Capri Global Capital Limited,CGCL,-6%,209.65,"237,673"
117,Astral Poly Technik Limited,ASTRAL,-6%,"2,012.10","871,166"
153,Bajaj Finserv Limited,BAJAJFINSV,-6%,"1,477.30","4,388,491"
341,Vip Industries Limited,VIPIND,-6%,455.90,"623,757"
61,Anand Rathi Wealth Ltd,ANANDRATHI,-6%,"3,834.00","103,020"
317,Gujarat Gas Limited,GUJGASLTD,-6%,533.30,"2,834,737"
427,Mangalore Refinery And Petrochemicals Limited,MRPL,-6%,198.95,"7,035,629"
2,Honeywell Automation India Limited,HONAUT,-6%,"49,796.15","6,723"
137,MTAR Technologies Ltd,MTARTECH,-6%,"1,698.50","501,909"
447,L&T Finance Ltd,LTF,-6%,149.35,"12,468,536"
382,Jio Financial Services Ltd,JIOFIN,-6.5%,332.95,"59,211,461"
238,Tanla Solutions Limited,TANLA,-7%,859.35,"507,045"
179,Bharti Airtel Limited,BHARTIARTL,-7%,"1,299.70","19,924,421"
361,Granules India Limited,GRANULES,-6.6%,412.00,"2,144,276"
464,Welspun Living Ltd,WELSPUNLIV,-6.6%,128.00,"2,367,415"
362,Minda Corporation Limited,MINDACORP,-7%,411.25,"1,069,800"
389,Nuvoco Vistas Corporation Ltd,NUVOCO,-7%,308.25,"431,612"
319,Deepak Fertilizers And Petrochemicals Corporation Limited,DEEPAKFERT,-7%,527.50,"777,522"
403,Rajesh Exports Limited,RAJESHEXPO,-7%,269.15,"782,015"
39,Thermax Limited,THERMAX,-7%,"5,277.30","777,579"
277,Hindalco Industries Limited,HINDALCO,-7%,649.05,"24,250,212"
385,Aster DM Healthcare Ltd,ASTERDM,-7%,331.15,"1,823,274"
129,Sobha Limited,SOBHA,-7%,"1,805.75","534,344"
27,Polycab India Ltd,POLYCAB,-7%,"6,456.20","1,324,429"
168,Birla Corporation Limited,BIRLACORPN,-7%,"1,374.95","129,851"
374,Balrampur Chini Mills Limited,BALRAMCHIN,-6.9%,364.10,"2,372,167"
73,Computer Age Management Services Ltd,CAMS,-7%,"3,302.60","397,578"
170,Finolex Cables Limited,FINCABLES,-7%,"1,366.30","323,229"
431,Gujarat Pipavav Port Limited,GPPL,-7%,189.20,"7,653,770"
440,TVS Supply Chain Solutions Ltd,TVSSCS,-7%,160.45,"1,154,496"
33,Astrazeneca Pharma India Limited,ASTRAZEN,-7%,"5,639.80","23,469"
17,Linde India Limited,LINDEINDIA,-7%,"8,288.35","197,399"
266,Can Fin Homes Limited,CANFINHOME,-7%,698.95,"1,127,713"
481,IDFC First Bank Ltd,IDFCFIRSTB,-7%,72.55,"93,953,265"
47,KSB Ltd,KSB,-7%,"4,453.40","49,670"
291,Gujarat Narmada Valley Fertilizers And Chemicals Limited,GNFC,-7%,615.65,"1,692,219"
483,Mmtc Limited,MMTC,-7%,68.00,"3,355,525"
500,Yes Bank Limited,YESBANK,-7%,21.85,"360,722,855"
220,The Great Eastern Shipping Company Limited,GESHIP,-7%,986.95,"1,589,154"
134,Oberoi Realty Limited,OBEROIRLTY,-7%,"1,745.25","1,025,717"
120,Jbm Auto Limited,JBMA,-7%,"1,939.60","440,880"
314,Triveni Turbine Limited,TRITURBINE,-7%,540.05,"1,323,546"
381,Usha Martin Limited,USHAMART,-7%,334.70,"1,852,220"
86,Reliance Industries Limited,RELIANCE,-7%,"2,794.55","18,354,549"
169,Bombay Burmah Trading Corporation Limited,BBTC,-8%,"1,374.00","70,772"
269,ICICI Securities Ltd,ISEC,-8%,687.25,"1,249,465"
202,Axis Bank Limited,AXISBANK,-8%,"1,131.25","24,135,989"
375,Delhivery Ltd,DELHIVERY,-8%,360.45,"3,822,206"
211,Icici Bank Limited,ICICIBANK,-8%,"1,071.45","43,476,837"
210,Global Health Ltd,MEDANTA,-8%,"1,076.80","896,817"
164,Torrent Power Limited,TORNTPOWER,-8%,"1,398.85","889,317"
80,Navin Fluorine International Limited,NAVINFLUOR,-8%,"3,048.45","454,767"
256,Piramal Enterprises Limited,PEL,-8%,754.20,"2,261,988"
274,KFin Technologies Ltd,KFINTECH,-8%,663.65,"1,269,715"
441,Manappuram Finance Limited,MANAPPURAM,-8%,159.90,"15,887,533"
420,PCBL Ltd,PCBL,-8%,215.90,"3,237,505"
273,Pnb Housing Finance Limited,PNBHOUSING,-8%,671.95,"1,908,944"
158,Apl Apollo Tubes Limited,APLAPOLLO,-8%,"1,434.50","780,014"
233,Dcm Shriram Limited,DCMSHRIRAM,-8%,903.30,"56,370"
349,Borosil Renewables Ltd,BORORENEW,-8%,443.95,"759,868"
471,Idfc Limited,IDFC,-7.9%,107.25,"20,331,655"
459,City Union Bank Limited,CUB,-8%,135.55,"9,878,146"
396,Bls International Services Limited,BLS,-8%,292.50,"2,537,909"
318,The Indian Hotels Company Limited,INDHOTEL,-8%,530.30,"7,888,936"
241,Jsw Steel Limited,JSWSTEEL,-8%,841.85,"4,022,430"
451,Indian Energy Exchange Ltd,IEX,-8%,145.15,"21,683,927"
487,Allcargo Logistics Limited,ALLCARGO,-8%,63.40,"2,281,920"
289,Maharashtra Seamless Limited,MAHSEAMLES,-8%,619.60,"497,657"
145,R R Kabel Ltd,RRKABEL,-8%,"1,583.95","601,404"
280,Hindustan Zinc Limited,HINDZINC,-8%,639.35,"1,984,752"
391,Triveni Engineering & Industries Limited,TRIVENI,-8%,305.35,"912,767"
185,Mahanagar Gas Limited,MGL,-8%,"1,262.95","983,219"
325,Varroc Engineering Ltd,VARROC,-8%,512.90,"566,826"
467,Sterlite Technologies Limited,STLTECH,-8%,116.15,"2,866,411"
394,Knr Constructions Limited,KNRCON,-8%,297.10,"3,920,353"
287,CG Power and Industrial Solutions Ltd,CGPOWER,-9%,627.00,"9,807,581"
482,Tata Teleservices (maharashtra) Limited,TTML,-9%,68.75,"5,006,990"
119,Central Depository Services Ltd,CDSL,-9%,"1,969.40","2,473,156"
358,Vedanta Limited,VEDL,-9%,417.85,"30,797,125"
138,Dalmia Bharat Limited,DALBHARAT,-9%,"1,695.25","1,010,572"
442,Tata Steel Limited,TATASTEEL,-9%,158.95,"125,042,158"
284,Lloyds Metals & Energy Ltd,LLOYDSME,-9%,630.35,"644,929"
166,Indusind Bank Limited,INDUSINDBK,-9%,"1,391.50","7,911,282"
494,Ujjivan Small Finance Bank Ltd,UJJIVANSFB,-9%,45.30,"33,087,888"
281,Fertilizers And Chemicals Travancore Limited,FACT,-9%,638.25,"300,298"
177,Macrotech Developers Ltd,LODHA,-9%,"1,303.80","1,466,624"
